ensembl_id,gene_symbol
ENSGALG00000000947,FKBP51
ENSGALG00000000949,HBEGF
ENSGALG00000000950,FAM125B
ENSGALG00000000951,CCL4
ENSGALG00000000953,TEAD3
ENSGALG00000000954,SMPD2
ENSGALG00000000955,TMEM222
ENSGALG00000000956,CCL4
ENSGALG00000000957,ESAM
ENSGALG00000000958,SNX27
ENSGALG00000000959,YTHDF2
ENSGALG00000000962,PUS3
ENSGALG00000000966,NPHP4
ENSGALG00000000970,STT3A
ENSGALG00000000972,PBX3
ENSGALG00000000974,IGSF1
ENSGALG00000000975,C1orf174
ENSGALG00000000977,MAPKAP1
ENSGALG00000000978,CEP104
ENSGALG00000000979,
ENSGALG00000000980,LRRC47
ENSGALG00000000981,GMEB1
ENSGALG00000000982,CCDC27
ENSGALG00000000983,L3MBTL1
ENSGALG00000000984,
ENSGALG00000000988,EFTUD2
ENSGALG00000000990,SRSF6
ENSGALG00000000991,TAF12
ENSGALG00000000993,GAPVD1
ENSGALG00000000994,RAB42
ENSGALG00000000996,AP3D1
ENSGALG00000000997,GJC1
ENSGALG00000000998,MTFR1L
ENSGALG00000000999,ZNF319
ENSGALG00000001000,HSPA5
ENSGALG00000001001,MAP2K4
ENSGALG00000001002,RABEPK
ENSGALG00000001003,SEPN1
ENSGALG00000001004,
ENSGALG00000001005,STT3A
ENSGALG00000001006,TP73
ENSGALG00000001007,MMP15
ENSGALG00000001009,
ENSGALG00000001011,CNGB1
ENSGALG00000001013,PPP6C
ENSGALG00000001014,ARPC5L
ENSGALG00000001017,WRAP73
ENSGALG00000001018,EI24
ENSGALG00000001019,BTBD2
ENSGALG00000001020,KIFC3
ENSGALG00000001021,MYOCD
ENSGALG00000001022,CCDC43
ENSGALG00000001023,BZRAP1
ENSGALG00000001024,TPRG1L
ENSGALG00000001025,GOLGA1
ENSGALG00000001026,EPB41L1
ENSGALG00000001027,C17orf104
ENSGALG00000001028,RNF43
ENSGALG00000001030,SCAMP4
ENSGALG00000001031,HSF5
ENSGALG00000001032,STUB1
ENSGALG00000001033,FOXRED1
ENSGALG00000001034,C20H20ORF4
ENSGALG00000001035,
ENSGALG00000001036,ELAC2
ENSGALG00000001037,SCAI
ENSGALG00000001038,MAN1C1
ENSGALG00000001039,RPL35
ENSGALG00000001040,MEGF6
ENSGALG00000001041,KATNB1
ENSGALG00000001042,MTMR4
ENSGALG00000001043,REXO1
ENSGALG00000001045,SLC4A9
ENSGALG00000001046,DLGAP4
ENSGALG00000001048,OLFML2A
ENSGALG00000001049,
ENSGALG00000001051,LDLRAP1
ENSGALG00000001053,SRPR
ENSGALG00000001054,C20H20ORF24
ENSGALG00000001055,NSF
ENSGALG00000001056,ABHD11
ENSGALG00000001058,ARHGEF16
ENSGALG00000001062,GGT7
ENSGALG00000001063,PRDM16
ENSGALG00000001064,DDA1
ENSGALG00000001065,CCDC135
ENSGALG00000001067,TMEM57
ENSGALG00000001069,ZPD
ENSGALG00000001070,FAM118B
ENSGALG00000001071,ELN
ENSGALG00000001073,NR6A1
ENSGALG00000001076,LIMK1
ENSGALG00000001077,TIRAP
ENSGALG00000001078,
ENSGALG00000001079,WNT3
ENSGALG00000001080,NR5A1
ENSGALG00000001081,TTC34
ENSGALG00000001082,DCPS
ENSGALG00000001084,ATP8B3
ENSGALG00000001085,GPR56
ENSGALG00000001091,C1orf116
ENSGALG00000001093,TCF3
ENSGALG00000001094,GPR144
ENSGALG00000001095,CCDC183
ENSGALG00000001096,UQCR11
ENSGALG00000001097,WNT9B
ENSGALG00000001099,ANKHD1
ENSGALG00000001100,ST3GAL4
ENSGALG00000001101,MBD3
ENSGALG00000001103,PSMB7
ENSGALG00000001104,SBDS
ENSGALG00000001106,MEX3D
ENSGALG00000001107,
ENSGALG00000001108,MIER2
ENSGALG00000001109,GTSF1
ENSGALG00000001110,
ENSGALG00000001111,DNAH9
ENSGALG00000001113,SRA1
ENSGALG00000001115,MMEL1
ENSGALG00000001117,PFKFB2
ENSGALG00000001118,NEK6
ENSGALG00000001121,SH3GL1
ENSGALG00000001122,CALN1
ENSGALG00000001124,LHX2
ENSGALG00000001126,CHAF1A
ENSGALG00000001129,KIRREL3
ENSGALG00000001130,WBSCR17
ENSGALG00000001131,
ENSGALG00000001132,APBB3
ENSGALG00000001136,
ENSGALG00000001137,
ENSGALG00000001138,
ENSGALG00000001141,HES5
ENSGALG00000001143,ETS1
ENSGALG00000001144,ZNF346
ENSGALG00000001146,UBXN6
ENSGALG00000001149,GPR114
ENSGALG00000001150,
ENSGALG00000001153,AUTS2
ENSGALG00000001156,RNF222
ENSGALG00000001157,DENND1A
ENSGALG00000001158,UIMC1
ENSGALG00000001160,DOK4
ENSGALG00000001161,FLI1
ENSGALG00000001162,PHB
ENSGALG00000001163,NDEL1
ENSGALG00000001165,PANK4
ENSGALG00000001166,
ENSGALG00000001167,KCNJ1
ENSGALG00000001168,POLR2C
ENSGALG00000001169,CRB2
ENSGALG00000001171,SEMA6B
ENSGALG00000001172,KBP
ENSGALG00000001174,WBSCR16
ENSGALG00000001175,C4BPA
ENSGALG00000001177,CD34
ENSGALG00000001179,ARMC8
ENSGALG00000001181,KCNJ5
ENSGALG00000001182,NCOA6
ENSGALG00000001183,MYH10
ENSGALG00000001184,COQ9
ENSGALG00000001186,DHX8
ENSGALG00000001187,STRBP
ENSGALG00000001188,ETV4
ENSGALG00000001189,NCF1
ENSGALG00000001190,DBR1
ENSGALG00000001191,GGMOXR1
ENSGALG00000001192,ARHGAP32
ENSGALG00000001194,CIAPIN1
ENSGALG00000001197,BARX2B
ENSGALG00000001201,GFOD2
